gamma,alpha,z_tr
2.750000000000000000e+00,1.250000000000000000e+00,1.223051525762881564e+00
2.750000000000000000e+00,1.312500000000000000e+00,1.243991995997999034e+00
2.750000000000000000e+00,1.375000000000000000e+00,1.264932466233116726e+00
2.750000000000000000e+00,1.437500000000000000e+00,1.284377188594297170e+00
2.750000000000000000e+00,1.500000000000000000e+00,1.305317658829414862e+00
2.750000000000000000e+00,1.562500000000000000e+00,1.323266633316658281e+00
2.750000000000000000e+00,1.625000000000000000e+00,1.342711355677838947e+00
2.750000000000000000e+00,1.687500000000000000e+00,1.360660330165082588e+00
2.750000000000000000e+00,1.750000000000000000e+00,1.378609304652326228e+00
2.750000000000000000e+00,1.812500000000000000e+00,1.396558279139569869e+00
2.750000000000000000e+00,1.875000000000000000e+00,1.413011505752876484e+00
2.750000000000000000e+00,1.937500000000000000e+00,1.429464732366183100e+00
2.750000000000000000e+00,2.000000000000000000e+00,1.445917958979489715e+00
2.937500000000000000e+00,5.000000000000000000e-01,9.268934467233617136e-01
2.937500000000000000e+00,5.625000000000000000e-01,9.583041520760380294e-01
2.937500000000000000e+00,6.250000000000000000e-01,9.882191095547774307e-01
2.937500000000000000e+00,6.875000000000000000e-01,1.018134067033516832e+00
2.937500000000000000e+00,7.500000000000000000e-01,1.046553276638319208e+00
2.937500000000000000e+00,8.125000000000000000e-01,1.073476738369184558e+00
2.937500000000000000e+00,8.750000000000000000e-01,1.098904452226113104e+00
2.937500000000000000e+00,9.375000000000000000e-01,1.124332166083041651e+00
2.937500000000000000e+00,1.000000000000000000e+00,1.149759879939969975e+00
2.937500000000000000e+00,1.062500000000000000e+00,1.172196098049024471e+00
2.937500000000000000e+00,1.125000000000000000e+00,1.196128064032015992e+00
2.937500000000000000e+00,1.187500000000000000e+00,1.218564282141070487e+00
2.937500000000000000e+00,1.250000000000000000e+00,1.239504752376188179e+00
2.937500000000000000e+00,1.312500000000000000e+00,1.260445222611305649e+00
2.937500000000000000e+00,1.375000000000000000e+00,1.281385692846423341e+00
2.937500000000000000e+00,1.437500000000000000e+00,1.300830415207603785e+00
2.937500000000000000e+00,1.500000000000000000e+00,1.320275137568784452e+00
2.937500000000000000e+00,1.562500000000000000e+00,1.339719859929965118e+00
2.937500000000000000e+00,1.625000000000000000e+00,1.357668834417208759e+00
2.937500000000000000e+00,1.687500000000000000e+00,1.375617808904452399e+00
2.937500000000000000e+00,1.750000000000000000e+00,1.393566783391695818e+00
2.937500000000000000e+00,1.812500000000000000e+00,1.411515757878939459e+00
2.937500000000000000e+00,1.875000000000000000e+00,1.427968984492246296e+00
2.937500000000000000e+00,1.937500000000000000e+00,1.444422211105552911e+00
2.937500000000000000e+00,2.000000000000000000e+00,1.460875437718859526e+00
3.125000000000000000e+00,5.000000000000000000e-01,9.478339169584792945e-01
3.125000000000000000e+00,5.625000000000000000e-01,9.777488744372186957e-01
3.125000000000000000e+00,6.250000000000000000e-01,1.007663831915957875e+00
3.125000000000000000e+00,6.875000000000000000e-01,1.036083041520760473e+00
3.125000000000000000e+00,7.500000000000000000e-01,1.064502251125562848e+00
3.125000000000000000e+00,8.125000000000000000e-01,1.091425712856428198e+00
3.125000000000000000e+00,8.750000000000000000e-01,1.116853426713356745e+00
3.125000000000000000e+00,9.375000000000000000e-01,1.142281140570285292e+00
3.125000000000000000e+00,1.000000000000000000e+00,1.166213106553276591e+00
3.125000000000000000e+00,1.062500000000000000e+00,1.188649324662331308e+00
3.125000000000000000e+00,1.125000000000000000e+00,1.212581290645322829e+00
3.125000000000000000e+00,1.187500000000000000e+00,1.233521760880440299e+00
3.125000000000000000e+00,1.250000000000000000e+00,1.255957978989494794e+00
3.125000000000000000e+00,1.312500000000000000e+00,1.275402701350675461e+00
3.125000000000000000e+00,1.375000000000000000e+00,1.296343171585792931e+00
3.125000000000000000e+00,1.437500000000000000e+00,1.315787893946973597e+00
3.125000000000000000e+00,1.500000000000000000e+00,1.335232616308154041e+00
3.125000000000000000e+00,1.562500000000000000e+00,1.354677338669334707e+00
3.125000000000000000e+00,1.625000000000000000e+00,1.372626313156578348e+00
3.125000000000000000e+00,1.687500000000000000e+00,1.390575287643821989e+00
3.125000000000000000e+00,1.750000000000000000e+00,1.408524262131065630e+00
3.125000000000000000e+00,1.812500000000000000e+00,1.424977488744372245e+00
3.125000000000000000e+00,1.875000000000000000e+00,1.442926463231615886e+00
3.125000000000000000e+00,1.937500000000000000e+00,1.459379689844922501e+00
3.125000000000000000e+00,2.000000000000000000e+00,1.475832916458229116e+00
3.312500000000000000e+00,5.000000000000000000e-01,9.672786393196598498e-01
3.312500000000000000e+00,5.625000000000000000e-01,9.971935967983992510e-01
3.312500000000000000e+00,6.250000000000000000e-01,1.025612806403201738e+00
3.312500000000000000e+00,6.875000000000000000e-01,1.054032016008004113e+00
3.312500000000000000e+00,7.500000000000000000e-01,1.080955477738869464e+00
3.312500000000000000e+00,8.125000000000000000e-01,1.107878939469734814e+00
3.312500000000000000e+00,8.750000000000000000e-01,1.133306653326663360e+00
3.312500000000000000e+00,9.375000000000000000e-01,1.157238619309654881e+00
3.312500000000000000e+00,1.000000000000000000e+00,1.181170585292646402e+00
3.312500000000000000e+00,1.062500000000000000e+00,1.205102551275637923e+00
3.312500000000000000e+00,1.125000000000000000e+00,1.227538769384692419e+00
3.312500000000000000e+00,1.187500000000000000e+00,1.248479239619809888e+00
3.312500000000000000e+00,1.250000000000000000e+00,1.269419709854927580e+00
3.312500000000000000e+00,1.312500000000000000e+00,1.290360180090045050e+00
3.312500000000000000e+00,1.375000000000000000e+00,1.311300650325162742e+00
3.312500000000000000e+00,1.437500000000000000e+00,1.330745372686343186e+00
3.312500000000000000e+00,1.500000000000000000e+00,1.350190095047523853e+00
3.312500000000000000e+00,1.562500000000000000e+00,1.368139069534767494e+00
3.312500000000000000e+00,1.625000000000000000e+00,1.386088044022011134e+00
3.312500000000000000e+00,1.687500000000000000e+00,1.404037018509254775e+00
3.312500000000000000e+00,1.750000000000000000e+00,1.421985992996498416e+00
3.312500000000000000e+00,1.812500000000000000e+00,1.438439219609805031e+00
3.312500000000000000e+00,1.875000000000000000e+00,1.456388194097048672e+00
3.312500000000000000e+00,1.937500000000000000e+00,1.472841420710355287e+00
3.312500000000000000e+00,2.000000000000000000e+00,1.487798899449724876e+00
3.500000000000000000e+00,5.000000000000000000e-01,9.852276138069034905e-01
3.500000000000000000e+00,5.625000000000000000e-01,1.015142571285642781e+00
3.500000000000000000e+00,6.250000000000000000e-01,1.043561780890445378e+00
3.500000000000000000e+00,6.875000000000000000e-01,1.070485242621310729e+00
3.500000000000000000e+00,7.500000000000000000e-01,1.097408704352176079e+00
3.500000000000000000e+00,8.125000000000000000e-01,1.124332166083041651e+00
3.500000000000000000e+00,8.750000000000000000e-01,1.148264132066033172e+00
3.500000000000000000e+00,9.375000000000000000e-01,1.173691845922961496e+00
3.500000000000000000e+00,1.000000000000000000e+00,1.196128064032015992e+00
3.500000000000000000e+00,1.062500000000000000e+00,1.220060030015007513e+00
3.500000000000000000e+00,1.125000000000000000e+00,1.241000500250125205e+00
3.500000000000000000e+00,1.187500000000000000e+00,1.263436718359179700e+00
3.500000000000000000e+00,1.250000000000000000e+00,1.284377188594297170e+00
3.500000000000000000e+00,1.312500000000000000e+00,1.303821910955477836e+00
3.500000000000000000e+00,1.375000000000000000e+00,1.324762381190595306e+00
3.500000000000000000e+00,1.437500000000000000e+00,1.344207103551775973e+00
3.500000000000000000e+00,1.500000000000000000e+00,1.362156078039019613e+00
3.500000000000000000e+00,1.562500000000000000e+00,1.381600800400200058e+00
3.500000000000000000e+00,1.625000000000000000e+00,1.399549774887443698e+00
3.500000000000000000e+00,1.687500000000000000e+00,1.417498749374687339e+00
3.500000000000000000e+00,1.750000000000000000e+00,1.433951975987993954e+00
3.500000000000000000e+00,1.812500000000000000e+00,1.451900950475237595e+00
3.500000000000000000e+00,1.875000000000000000e+00,1.468354177088544432e+00
3.500000000000000000e+00,1.937500000000000000e+00,1.484807403701851047e+00
3.500000000000000000e+00,2.000000000000000000e+00,1.501260630315157663e+00
3.687500000000000000e+00,5.000000000000000000e-01,1.001680840420209995e+00
3.687500000000000000e+00,5.625000000000000000e-01,1.031595797898949618e+00
3.687500000000000000e+00,6.250000000000000000e-01,1.060015007503751994e+00
3.687500000000000000e+00,6.875000000000000000e-01,1.086938469234617344e+00
3.687500000000000000e+00,7.500000000000000000e-01,1.113861930965482694e+00
3.687500000000000000e+00,8.125000000000000000e-01,1.139289644822411240e+00
3.687500000000000000e+00,8.750000000000000000e-01,1.163221610805402761e+00
3.687500000000000000e+00,9.375000000000000000e-01,1.187153576788394282e+00
3.687500000000000000e+00,1.000000000000000000e+00,1.211085542771385803e+00
3.687500000000000000e+00,1.062500000000000000e+00,1.233521760880440299e+00
3.687500000000000000e+00,1.125000000000000000e+00,1.254462231115557769e+00
3.687500000000000000e+00,1.187500000000000000e+00,1.276898449224612264e+00
3.687500000000000000e+00,1.250000000000000000e+00,1.297838919459729956e+00
3.687500000000000000e+00,1.312500000000000000e+00,1.317283641820910622e+00
3.687500000000000000e+00,1.375000000000000000e+00,1.336728364182091067e+00
3.687500000000000000e+00,1.437500000000000000e+00,1.356173086543271733e+00
3.687500000000000000e+00,1.500000000000000000e+00,1.375617808904452399e+00
3.687500000000000000e+00,1.562500000000000000e+00,1.393566783391695818e+00
3.687500000000000000e+00,1.625000000000000000e+00,1.411515757878939459e+00
3.687500000000000000e+00,1.687500000000000000e+00,1.429464732366183100e+00
3.687500000000000000e+00,1.750000000000000000e+00,1.447413706853426740e+00
3.687500000000000000e+00,1.812500000000000000e+00,1.463866933466733355e+00
3.687500000000000000e+00,1.875000000000000000e+00,1.480320160080040193e+00
3.687500000000000000e+00,1.937500000000000000e+00,1.496773386693346808e+00
3.687500000000000000e+00,2.000000000000000000e+00,1.513226613306653423e+00
3.875000000000000000e+00,5.000000000000000000e-01,1.018134067033516832e+00
3.875000000000000000e+00,5.625000000000000000e-01,1.046553276638319208e+00
3.875000000000000000e+00,6.250000000000000000e-01,1.074972486243121583e+00
3.875000000000000000e+00,6.875000000000000000e-01,1.101895947973987155e+00
3.875000000000000000e+00,7.500000000000000000e-01,1.127323661830915480e+00
3.875000000000000000e+00,8.125000000000000000e-01,1.152751375687844027e+00
3.875000000000000000e+00,8.750000000000000000e-01,1.178179089544772351e+00
3.875000000000000000e+00,9.375000000000000000e-01,1.200615307653827069e+00
3.875000000000000000e+00,1.000000000000000000e+00,1.224547273636818367e+00
3.875000000000000000e+00,1.062500000000000000e+00,1.246983491745873085e+00
3.875000000000000000e+00,1.125000000000000000e+00,1.267923961980990555e+00
3.875000000000000000e+00,1.187500000000000000e+00,1.288864432216108025e+00
3.875000000000000000e+00,1.250000000000000000e+00,1.309804902451225717e+00
3.875000000000000000e+00,1.312500000000000000e+00,1.330745372686343186e+00
3.875000000000000000e+00,1.375000000000000000e+00,1.350190095047523853e+00
3.875000000000000000e+00,1.437500000000000000e+00,1.368139069534767494e+00
3.875000000000000000e+00,1.500000000000000000e+00,1.387583791895947938e+00
3.875000000000000000e+00,1.562500000000000000e+00,1.405532766383191579e+00
3.875000000000000000e+00,1.625000000000000000e+00,1.423481740870435219e+00
3.875000000000000000e+00,1.687500000000000000e+00,1.441430715357678860e+00
3.875000000000000000e+00,1.750000000000000000e+00,1.459379689844922501e+00
3.875000000000000000e+00,1.812500000000000000e+00,1.475832916458229116e+00
3.875000000000000000e+00,1.875000000000000000e+00,1.492286143071535731e+00
3.875000000000000000e+00,1.937500000000000000e+00,1.508739369684842568e+00
3.875000000000000000e+00,2.000000000000000000e+00,1.523696848424212158e+00
4.062500000000000000e+00,5.000000000000000000e-01,1.034587293646823447e+00
4.062500000000000000e+00,5.625000000000000000e-01,1.063006503251625823e+00
4.062500000000000000e+00,6.250000000000000000e-01,1.089929964982491395e+00
4.062500000000000000e+00,6.875000000000000000e-01,1.115357678839419719e+00
4.062500000000000000e+00,7.500000000000000000e-01,1.142281140570285292e+00
4.062500000000000000e+00,8.125000000000000000e-01,1.166213106553276591e+00
4.062500000000000000e+00,8.750000000000000000e-01,1.190145072536268112e+00
4.062500000000000000e+00,9.375000000000000000e-01,1.214077038519259633e+00
4.062500000000000000e+00,1.000000000000000000e+00,1.236513256628314128e+00
4.062500000000000000e+00,1.062500000000000000e+00,1.258949474737368845e+00
4.062500000000000000e+00,1.125000000000000000e+00,1.279889944972486315e+00
4.062500000000000000e+00,1.187500000000000000e+00,1.300830415207603785e+00
4.062500000000000000e+00,1.250000000000000000e+00,1.321770885442721477e+00
4.062500000000000000e+00,1.312500000000000000e+00,1.342711355677838947e+00
4.062500000000000000e+00,1.375000000000000000e+00,1.362156078039019613e+00
4.062500000000000000e+00,1.437500000000000000e+00,1.380105052526263254e+00
4.062500000000000000e+00,1.500000000000000000e+00,1.399549774887443698e+00
4.062500000000000000e+00,1.562500000000000000e+00,1.417498749374687339e+00
4.062500000000000000e+00,1.625000000000000000e+00,1.435447723861930980e+00
4.062500000000000000e+00,1.687500000000000000e+00,1.453396698349174621e+00
4.062500000000000000e+00,1.750000000000000000e+00,1.469849924962481236e+00
4.062500000000000000e+00,1.812500000000000000e+00,1.486303151575788073e+00
4.062500000000000000e+00,1.875000000000000000e+00,1.502756378189094688e+00
4.062500000000000000e+00,1.937500000000000000e+00,1.519209604802401303e+00
4.062500000000000000e+00,2.000000000000000000e+00,1.535662831415707918e+00
4.250000000000000000e+00,5.000000000000000000e-01,1.049544772386193037e+00
4.250000000000000000e+00,5.625000000000000000e-01,1.076468234117058609e+00
4.250000000000000000e+00,6.250000000000000000e-01,1.103391695847923959e+00
4.250000000000000000e+00,6.875000000000000000e-01,1.130315157578789531e+00
4.250000000000000000e+00,7.500000000000000000e-01,1.154247123561781052e+00
4.250000000000000000e+00,8.125000000000000000e-01,1.179674837418709377e+00
4.250000000000000000e+00,8.750000000000000000e-01,1.203606803401700898e+00
4.250000000000000000e+00,9.375000000000000000e-01,1.226043021510755393e+00
4.250000000000000000e+00,1.000000000000000000e+00,1.248479239619809888e+00
4.250000000000000000e+00,1.062500000000000000e+00,1.270915457728864384e+00
4.250000000000000000e+00,1.125000000000000000e+00,1.291855927963982076e+00
4.250000000000000000e+00,1.187500000000000000e+00,1.312796398199099546e+00
4.250000000000000000e+00,1.250000000000000000e+00,1.333736868434217238e+00
4.250000000000000000e+00,1.312500000000000000e+00,1.353181590795397682e+00
4.250000000000000000e+00,1.375000000000000000e+00,1.372626313156578348e+00
4.250000000000000000e+00,1.437500000000000000e+00,1.392071035517759015e+00
4.250000000000000000e+00,1.500000000000000000e+00,1.410020010005002655e+00
4.250000000000000000e+00,1.562500000000000000e+00,1.427968984492246296e+00
4.250000000000000000e+00,1.625000000000000000e+00,1.445917958979489715e+00
4.250000000000000000e+00,1.687500000000000000e+00,1.463866933466733355e+00
4.250000000000000000e+00,1.750000000000000000e+00,1.480320160080040193e+00
4.250000000000000000e+00,1.812500000000000000e+00,1.496773386693346808e+00
4.250000000000000000e+00,1.875000000000000000e+00,1.513226613306653423e+00
4.250000000000000000e+00,1.937500000000000000e+00,1.529679839919960038e+00
4.250000000000000000e+00,2.000000000000000000e+00,1.546133066533266653e+00
4.437500000000000000e+00,5.000000000000000000e-01,1.063006503251625823e+00
4.437500000000000000e+00,5.625000000000000000e-01,1.089929964982491395e+00
4.437500000000000000e+00,6.250000000000000000e-01,1.116853426713356745e+00
4.437500000000000000e+00,6.875000000000000000e-01,1.142281140570285292e+00
4.437500000000000000e+00,7.500000000000000000e-01,1.167708854427213616e+00
4.437500000000000000e+00,8.125000000000000000e-01,1.191640820410205137e+00
4.437500000000000000e+00,8.750000000000000000e-01,1.215572786393196658e+00
4.437500000000000000e+00,9.375000000000000000e-01,1.238009004502251154e+00
4.437500000000000000e+00,1.000000000000000000e+00,1.260445222611305649e+00
4.437500000000000000e+00,1.062500000000000000e+00,1.282881440720360144e+00
4.437500000000000000e+00,1.125000000000000000e+00,1.303821910955477836e+00
4.437500000000000000e+00,1.187500000000000000e+00,1.324762381190595306e+00
4.437500000000000000e+00,1.250000000000000000e+00,1.344207103551775973e+00
4.437500000000000000e+00,1.312500000000000000e+00,1.363651825912956639e+00
4.437500000000000000e+00,1.375000000000000000e+00,1.383096548274137083e+00
4.437500000000000000e+00,1.437500000000000000e+00,1.402541270635317749e+00
4.437500000000000000e+00,1.500000000000000000e+00,1.420490245122561390e+00
4.437500000000000000e+00,1.562500000000000000e+00,1.438439219609805031e+00
4.437500000000000000e+00,1.625000000000000000e+00,1.456388194097048672e+00
4.437500000000000000e+00,1.687500000000000000e+00,1.474337168584292312e+00
4.437500000000000000e+00,1.750000000000000000e+00,1.490790395197598928e+00
4.437500000000000000e+00,1.812500000000000000e+00,1.507243621810905543e+00
4.437500000000000000e+00,1.875000000000000000e+00,1.523696848424212158e+00
4.437500000000000000e+00,1.937500000000000000e+00,1.540150075037518773e+00
4.437500000000000000e+00,2.000000000000000000e+00,1.556603301650825388e+00
4.625000000000000000e+00,5.000000000000000000e-01,1.076468234117058609e+00
4.625000000000000000e+00,5.625000000000000000e-01,1.103391695847923959e+00
4.625000000000000000e+00,6.250000000000000000e-01,1.128819409704852506e+00
4.625000000000000000e+00,6.875000000000000000e-01,1.154247123561781052e+00
4.625000000000000000e+00,7.500000000000000000e-01,1.179674837418709377e+00
4.625000000000000000e+00,8.125000000000000000e-01,1.203606803401700898e+00
4.625000000000000000e+00,8.750000000000000000e-01,1.227538769384692419e+00
4.625000000000000000e+00,9.375000000000000000e-01,1.249974987493746914e+00
4.625000000000000000e+00,1.000000000000000000e+00,1.272411205602801409e+00
4.625000000000000000e+00,1.062500000000000000e+00,1.293351675837919101e+00
4.625000000000000000e+00,1.125000000000000000e+00,1.314292146073036571e+00
4.625000000000000000e+00,1.187500000000000000e+00,1.335232616308154041e+00
4.625000000000000000e+00,1.250000000000000000e+00,1.354677338669334707e+00
4.625000000000000000e+00,1.312500000000000000e+00,1.375617808904452399e+00
4.625000000000000000e+00,1.375000000000000000e+00,1.393566783391695818e+00
4.625000000000000000e+00,1.437500000000000000e+00,1.413011505752876484e+00
4.625000000000000000e+00,1.500000000000000000e+00,1.430960480240120125e+00
4.625000000000000000e+00,1.562500000000000000e+00,1.448909454727363766e+00
4.625000000000000000e+00,1.625000000000000000e+00,1.466858429214607407e+00
4.625000000000000000e+00,1.687500000000000000e+00,1.483311655827914022e+00
4.625000000000000000e+00,1.750000000000000000e+00,1.501260630315157663e+00
4.625000000000000000e+00,1.812500000000000000e+00,1.517713856928464278e+00
4.625000000000000000e+00,1.875000000000000000e+00,1.534167083541770893e+00
4.625000000000000000e+00,1.937500000000000000e+00,1.550620310155077508e+00
4.625000000000000000e+00,2.000000000000000000e+00,1.565577788894447320e+00
4.812500000000000000e+00,5.000000000000000000e-01,1.089929964982491395e+00
4.812500000000000000e+00,5.625000000000000000e-01,1.115357678839419719e+00
4.812500000000000000e+00,6.250000000000000000e-01,1.142281140570285292e+00
4.812500000000000000e+00,6.875000000000000000e-01,1.166213106553276591e+00
4.812500000000000000e+00,7.500000000000000000e-01,1.191640820410205137e+00
4.812500000000000000e+00,8.125000000000000000e-01,1.215572786393196658e+00
4.812500000000000000e+00,8.750000000000000000e-01,1.238009004502251154e+00
4.812500000000000000e+00,9.375000000000000000e-01,1.260445222611305649e+00
4.812500000000000000e+00,1.000000000000000000e+00,1.282881440720360144e+00
4.812500000000000000e+00,1.062500000000000000e+00,1.303821910955477836e+00
4.812500000000000000e+00,1.125000000000000000e+00,1.324762381190595306e+00
4.812500000000000000e+00,1.187500000000000000e+00,1.345702851425712998e+00
4.812500000000000000e+00,1.250000000000000000e+00,1.365147573786893442e+00
4.812500000000000000e+00,1.312500000000000000e+00,1.384592296148074109e+00
4.812500000000000000e+00,1.375000000000000000e+00,1.404037018509254775e+00
4.812500000000000000e+00,1.437500000000000000e+00,1.423481740870435219e+00
4.812500000000000000e+00,1.500000000000000000e+00,1.441430715357678860e+00
4.812500000000000000e+00,1.562500000000000000e+00,1.459379689844922501e+00
4.812500000000000000e+00,1.625000000000000000e+00,1.475832916458229116e+00
4.812500000000000000e+00,1.687500000000000000e+00,1.493781890945472757e+00
4.812500000000000000e+00,1.750000000000000000e+00,1.510235117558779372e+00
4.812500000000000000e+00,1.812500000000000000e+00,1.526688344172086209e+00
4.812500000000000000e+00,1.875000000000000000e+00,1.543141570785392824e+00
4.812500000000000000e+00,1.937500000000000000e+00,1.559594797398699439e+00
4.812500000000000000e+00,2.000000000000000000e+00,1.574552276138069029e+00
5.000000000000000000e+00,5.000000000000000000e-01,1.101895947973987155e+00
5.000000000000000000e+00,5.625000000000000000e-01,1.127323661830915480e+00
5.000000000000000000e+00,6.250000000000000000e-01,1.152751375687844027e+00
5.000000000000000000e+00,6.875000000000000000e-01,1.178179089544772351e+00
5.000000000000000000e+00,7.500000000000000000e-01,1.202111055527763872e+00
5.000000000000000000e+00,8.125000000000000000e-01,1.226043021510755393e+00
5.000000000000000000e+00,8.750000000000000000e-01,1.248479239619809888e+00
5.000000000000000000e+00,9.375000000000000000e-01,1.270915457728864384e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.293351675837919101e+00
5.000000000000000000e+00,1.062500000000000000e+00,1.314292146073036571e+00
5.000000000000000000e+00,1.125000000000000000e+00,1.335232616308154041e+00
5.000000000000000000e+00,1.187500000000000000e+00,1.356173086543271733e+00
5.000000000000000000e+00,1.250000000000000000e+00,1.375617808904452399e+00
5.000000000000000000e+00,1.312500000000000000e+00,1.395062531265632844e+00
5.000000000000000000e+00,1.375000000000000000e+00,1.414507253626813510e+00
5.000000000000000000e+00,1.437500000000000000e+00,1.432456228114057151e+00
5.000000000000000000e+00,1.500000000000000000e+00,1.450405202601300791e+00
5.000000000000000000e+00,1.562500000000000000e+00,1.468354177088544432e+00
5.000000000000000000e+00,1.625000000000000000e+00,1.486303151575788073e+00
5.000000000000000000e+00,1.687500000000000000e+00,1.502756378189094688e+00
5.000000000000000000e+00,1.750000000000000000e+00,1.519209604802401303e+00
5.000000000000000000e+00,1.812500000000000000e+00,1.535662831415707918e+00
5.000000000000000000e+00,1.875000000000000000e+00,1.552116058029014534e+00
5.000000000000000000e+00,1.937500000000000000e+00,1.568569284642321149e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.583526763381690960e+00
